"","id","zip","x","y"
"11381",11382,"10314",-74.16729382,40.61654307
"11382",11383,"10304",-74.07935572,40.61641783
"11383",11384,"10307",-74.24970403,40.50321923
"11384",11385,"10306",-74.14061305,40.55616016
"11385",11386,"10304",-74.08165623,40.61549122
"11386",11387,"10306",-74.11376283,40.56650489
"11387",11388,"10314",-74.16207339,40.59379615
"11388",11389,"10306",-74.13229755,40.57124179
"11389",11390,"10307",-74.24128603,40.51116156
"11390",11391,"10301",-74.08804287,40.63770834
"11391",11392,"10306",-74.10710913,40.57854452
"11392",11393,"10314",-74.15735406,40.60806195
"11393",11394,"10306",-74.11512246,40.56181266
"11394",11395,"10305",-74.069336,40.61378931
"11395",11396,"10305",-74.06507723,40.6012124
"11396",11397,"10310",-74.12054189,40.63325701
"11397",11398,"10306",-74.11512246,40.56181266
"11398",11399,"10312",-74.16640463,40.56039112
"11399",11400,"10312",-74.16640463,40.56039112
"11400",11401,"10305",-74.06507723,40.6012124
"11401",11402,"10303",-74.16344338,40.62685806
"11402",11403,"10303",-74.16344338,40.62685806
"11403",11404,"10303",-74.17795215,40.62606249
"11404",11405,"10301",-74.07703272,40.64472094
"11405",11406,"10301",-74.07703272,40.64472094
"11406",11407,"10306",-74.1266595,40.5762931
"11407",11408,"10306",-74.12004838,40.57321778
"11408",11409,"10301",-74.07703272,40.64472094
"11409",11410,"10301",-74.07703272,40.64472094
"11410",11411,"10310",-74.12187907,40.63354106
"11411",11412,"10305",-74.08089499,40.59366513
"11412",11413,"10314",-74.11667888,40.61015532
"11413",11414,"10312",-74.19571779,40.55053768
"11414",11415,"10303",-74.1475617,40.63580836
"11415",11416,"10302",-74.1320943,40.63774029
"11416",11417,"10303",-74.14556491,40.6354678
"11417",11418,"10314",-74.16985067,40.57244953
"11418",11419,"10303",-74.14556491,40.6354678
"11419",11420,"10305",-74.07044178,40.59674344
"11420",11421,"10303",-74.1687966,40.62111919
"11421",11422,"10303",-74.1475617,40.63580836
"11422",11423,"10306",-74.13849092,40.56537158
"11423",11424,"10306",-74.13849092,40.56537158
"11424",11425,"10312",-74.19571779,40.55053768
"11425",11426,"10310",-74.1189623,40.63441147
"11426",11427,"10307",-74.24930373,40.51158634
"11427",11428,"10314",-74.15897154,40.61277529
"11428",11429,"10314",-74.16973258,40.57697315
"11429",11430,"10303",-74.1661083,40.63806398
"11430",11431,"10303",-74.1661083,40.63806398
"11431",11432,"10314",-74.16973258,40.57697315
"11432",11433,"10304",-74.0835811,40.61378532
"11433",11434,"10303",-74.1661083,40.63806398
"11434",11435,"10303",-74.1661083,40.63806398
"11435",11436,"10305",-74.06312372,40.59560861
"11436",11437,"10305",-74.07591132,40.6124155
"11437",11438,"10309",-74.2172554,40.52988261
"11438",11439,"10312",-74.19073495,40.55212434
"11439",11440,"10302",-74.1313116,40.62633657
"11440",11441,"10309",-74.20309773,40.53857942
"11441",11442,"10310",-74.11623137,40.636525
"11442",11443,"10306",-74.12131651,40.56984308
"11443",11444,"10309",-74.21019099,40.54724852
"11444",11445,"10301",-74.10273254,40.63763028
"11445",11446,"10301",-74.08890494,40.63029949
"11446",11447,"10306",-74.13037229,40.55857944
"11447",11448,"10310",-74.11755085,40.63696283
"11448",11449,"10310",-74.11760587,40.63751722
"11449",11450,"10314",-74.15735406,40.60806195
"11450",11451,"10310",-74.11755085,40.63696283
"11451",11452,"10305",-74.07141311,40.61273404
"11452",11453,"10305",-74.08587765,40.59589853
"11453",11454,"10305",-74.06333645,40.59589944
"11454",11455,"10302",-74.12944175,40.63368101
"11455",11456,"10306",-74.13865228,40.56334571
"11456",11457,"10305",-74.0651418,40.61203509
"11457",11458,"10312",-74.2039875,40.55662502
"11458",11459,"10306",-74.13865228,40.56334571
"11459",11460,"10312",-74.2039875,40.55662502
"11460",11461,"10302",-74.12944175,40.63368101
"11461",11462,"10305",-74.0651418,40.61203509
"11462",11463,"10305",-74.0664553,40.61452936
"11463",11464,"10302",-74.12944533,40.63366728
